Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,10868.849609,10895.349609,10735.049805,10792.500000,10792.500000,300400
2019-01-03,10796.799805,10814.049805,10661.250000,10672.250000,10672.250000,277600
2019-01-04,10699.700195,10741.049805,10628.650391,10727.349609,10727.349609,287700
2019-01-07,10804.849609,10835.950195,10750.150391,10771.799805,10771.799805,261300
2019-01-08,10786.250000,10818.450195,10733.250000,10802.150391,10802.150391,269400
2019-01-09,10862.400391,10870.400391,10749.400391,10855.150391,10855.150391,323000
2019-01-10,10859.349609,10859.349609,10801.799805,10821.599609,10821.599609,246800
2019-01-11,10834.750000,10850.150391,10739.400391,10794.950195,10794.950195,253000
2019-01-14,10807.000000,10808.000000,10692.349609,10737.599609,10737.599609,289800
2019-01-15,10777.549805,10896.950195,10777.549805,10886.799805,10886.799805,301400
2019-01-16,10899.650391,10928.150391,10876.900391,10890.299805,10890.299805,268200
2019-01-17,10920.849609,10930.650391,10844.650391,10905.200195,10905.200195,263500
2019-01-18,10914.849609,10928.200195,10852.200195,10906.950195,10906.950195,314100
2019-01-21,10919.349609,10987.450195,10885.750000,10961.849609,10961.849609,280100
2019-01-22,10949.799805,10949.799805,10864.150391,10922.750000,10922.750000,291800
2019-01-23,10931.049805,10944.799805,10811.950195,10831.500000,10831.500000,0
2019-01-24,10844.049805,10866.599609,10798.650391,10849.799805,10849.799805,350300
2019-01-25,10859.750000,10931.700195,10756.450195,10780.549805,10780.549805,449500
2019-01-28,10792.450195,10804.450195,10630.950195,10661.549805,10661.549805,407100
2019-01-29,10653.700195,10690.349609,10583.650391,10652.200195,10652.200195,346200
2019-01-30,10702.250000,10710.200195,10612.849609,10651.799805,10651.799805,397800
2019-01-31,10690.549805,10838.049805,10678.549805,10830.950195,10830.950195,586700
2019-02-01,10851.349609,10983.450195,10813.450195,10893.650391,10893.650391,467800
2019-02-04,10876.750000,10927.900391,10814.150391,10912.250000,10912.250000,308800
2019-02-05,10908.650391,10956.700195,10886.700195,10934.349609,10934.349609,260100
2019-02-06,10965.099609,11072.599609,10962.700195,11062.450195,11062.450195,289500
2019-02-07,11070.450195,11118.099609,11043.599609,11069.400391,11069.400391,255600
2019-02-08,11023.500000,11041.200195,10925.450195,10943.599609,10943.599609,342200
2019-02-11,10930.900391,10930.900391,10857.099609,10888.799805,10888.799805,277400
2019-02-12,10879.700195,10910.900391,10823.799805,10831.400391,10831.400391,283500
2019-02-14,10786.099609,10792.700195,10718.750000,10746.049805,10746.049805,608200
2019-02-15,10780.250000,10785.750000,10620.400391,10724.400391,10724.400391,506200
2019-02-18,10738.650391,10759.900391,10628.400391,10640.950195,10640.950195,335000
2019-02-19,10636.700195,10722.849609,10585.650391,10604.349609,10604.349609,282800
2019-02-20,10655.450195,10752.700195,10646.400391,10735.450195,10735.450195,280500
2019-02-21,10744.099609,10808.849609,10721.500000,10789.849609,10789.849609,271200
2019-02-22,10782.700195,10801.549805,10758.400391,10791.650391,10791.650391,384900
2019-02-25,10813.250000,10887.099609,10788.049805,10880.099609,10880.099609,374300
2019-02-26,10775.299805,10888.750000,10729.299805,10835.299805,10835.299805,402600
2019-02-27,10881.200195,10939.700195,10751.200195,10806.650391,10806.650391,369700
2019-02-28,10865.700195,10865.700195,10784.849609,10792.500000,10792.500000,624900
2019-03-01,10842.650391,10877.900391,10823.099609,10863.500000,10863.500000,299200
2019-03-05,10864.849609,10994.900391,10817.000000,10987.450195,10987.450195,362000
2019-03-06,11024.849609,11062.299805,10998.849609,11053.000000,11053.000000,361400
2019-03-07,11077.950195,11089.049805,11027.099609,11058.200195,11058.200195,311600
2019-03-08,11038.849609,11049.000000,11008.950195,11035.400391,11035.400391,316800
2019-03-11,11068.750000,11180.900391,11059.849609,11168.049805,11168.049805,341600
2019-03-12,11231.349609,11320.400391,11227.000000,11301.200195,11301.200195,379600
2019-03-13,11326.200195,11352.299805,11276.599609,11341.700195,11341.700195,371500
2019-03-14,11382.500000,11383.450195,11313.750000,11343.250000,11343.250000,285700
2019-03-15,11376.849609,11487.000000,11370.799805,11426.849609,11426.849609,449800
2019-03-18,11473.849609,11530.150391,11412.500000,11462.200195,11462.200195,310700
2019-03-19,11500.299805,11543.849609,11451.250000,11532.400391,11532.400391,316300
2019-03-20,11553.349609,11556.099609,11503.099609,11521.049805,11521.049805,355300
2019-03-22,11549.200195,11572.799805,11434.549805,11456.900391,11456.900391,374600
2019-03-25,11395.650391,11395.650391,11311.599609,11354.250000,11354.250000,285700
2019-03-26,11375.200195,11496.750000,11352.450195,11483.250000,11483.250000,274100
2019-03-27,11531.450195,11546.200195,11413.000000,11445.049805,11445.049805,339900
2019-03-28,11463.650391,11588.500000,11452.450195,11570.000000,11570.000000,511900
2019-04-01,11665.200195,11738.099609,11644.750000,11669.150391,11669.150391,368200
2019-04-02,11711.549805,11729.349609,11655.849609,11713.200195,11713.200195,374500
2019-04-03,11735.299805,11761.000000,11629.150391,11643.950195,11643.950195,354800
2019-04-04,11660.200195,11662.549805,11559.200195,11598.000000,11598.000000,338500
2019-04-05,11638.400391,11689.650391,11609.500000,11665.950195,11665.950195,258700
2019-04-08,11704.349609,11710.299805,11549.099609,11604.500000,11604.500000,253100
2019-04-09,11612.049805,11683.900391,11569.700195,11671.950195,11671.950195,291500
2019-04-10,11646.849609,11680.049805,11571.750000,11584.299805,11584.299805,349100
2019-04-11,11592.549805,11606.700195,11550.549805,11596.700195,11596.700195,271400
2019-04-12,11612.849609,11657.349609,11578.799805,11643.450195,11643.450195,238600
2019-04-15,11667.000000,11704.599609,11648.250000,11690.349609,11690.349609,281300
2019-04-16,11736.200195,11810.950195,11731.549805,11787.150391,11787.150391,343700
2019-04-18,11856.150391,11856.150391,11738.500000,11752.799805,11752.799805,329500
2019-04-22,11727.049805,11727.049805,11583.950195,11594.450195,11594.450195,252600
2019-04-23,11612.950195,11645.950195,11564.799805,11575.950195,11575.950195,264300
2019-04-24,11601.500000,11740.849609,11578.849609,11726.150391,11726.150391,325100
2019-04-25,11735.700195,11796.750000,11624.299805,11641.799805,11641.799805,586300
2019-04-26,11683.750000,11762.900391,11661.750000,11754.650391,11754.650391,323500
2019-04-30,11748.750000,11756.250000,11655.900391,11748.150391,11748.150391,516600
2019-05-02,11725.549805,11789.299805,11699.549805,11724.750000,11724.750000,368900
2019-05-03,11722.599609,11770.900391,11699.349609,11712.250000,11712.250000,296300
2019-05-06,11605.799805,11632.549805,11571.349609,11598.250000,11598.250000,290000
2019-05-07,11651.500000,11657.049805,11484.450195,11497.900391,11497.900391,327400
2019-05-08,11478.700195,11479.099609,11346.950195,11359.450195,11359.450195,361600
2019-05-09,11322.400391,11357.599609,11255.049805,11301.799805,11301.799805,361800
2019-05-10,11314.150391,11345.799805,11251.049805,11278.900391,11278.900391,375700
2019-05-13,11258.700195,11300.200195,11125.599609,11148.200195,11148.200195,346900
2019-05-14,11151.650391,11294.750000,11108.299805,11222.049805,11222.049805,386200
2019-05-15,11271.700195,11286.799805,11136.950195,11157.000000,11157.000000,401800
2019-05-16,11180.349609,11281.549805,11143.349609,11257.099609,11257.099609,340200
2019-05-17,11261.900391,11426.150391,11259.849609,11407.150391,11407.150391,399700
2019-05-20,11651.900391,11845.200195,11591.700195,11828.250000,11828.250000,438500
2019-05-21,11863.650391,11883.549805,11682.799805,11709.099609,11709.099609,369600
2019-05-22,11727.950195,11784.799805,11682.400391,11737.900391,11737.900391,345200
2019-05-23,11901.299805,12041.150391,11614.500000,11657.049805,11657.049805,551900
2019-05-24,11748.000000,11859.000000,11658.099609,11844.099609,11844.099609,363400
2019-05-27,11855.500000,11957.150391,11812.400391,11924.750000,11924.750000,337900
2019-05-28,11958.349609,11958.549805,11864.900391,11928.750000,11928.750000,580400
2019-05-29,11905.799805,11931.900391,11836.799805,11861.099609,11861.099609,308600
2019-05-30,11865.299805,11968.549805,11859.400391,11945.900391,11945.900391,408600
2019-05-31,11999.799805,12039.250000,11829.450195,11922.799805,11922.799805,425700
2019-06-03,11953.750000,12103.049805,11920.099609,12088.549805,12088.549805,305800
2019-06-04,12052.650391,12095.200195,12005.849609,12021.650391,12021.650391,280500
2019-06-06,12039.799805,12039.799805,11830.250000,11843.750000,11843.750000,402700
2019-06-07,11865.200195,11897.500000,11769.500000,11870.650391,11870.650391,293400
2019-06-10,11934.900391,11975.049805,11871.750000,11922.700195,11922.700195,294200
2019-06-11,11959.849609,12000.349609,11904.349609,11965.599609,11965.599609,322200
2019-06-12,11962.450195,11962.450195,11866.349609,11906.200195,11906.200195,275200
2019-06-13,11873.900391,11931.349609,11817.049805,11914.049805,11914.049805,434500
2019-06-14,11910.099609,11911.849609,11797.700195,11823.299805,11823.299805,378600
2019-06-17,11844.000000,11844.049805,11657.750000,11672.150391,11672.150391,286600
2019-06-18,null,null,null,null,null,null
2019-06-19,11744.450195,11802.500000,11625.099609,11691.450195,11691.450195,433500
2019-06-20,11653.650391,11843.500000,11635.049805,11831.750000,11831.750000,428700
2019-06-21,11827.599609,11827.950195,11705.099609,11724.099609,11724.099609,454300
2019-06-24,11725.799805,11754.000000,11670.200195,11699.650391,11699.650391,269300
2019-06-25,11681.000000,11814.400391,11651.000000,11796.450195,11796.450195,291500
2019-06-26,11768.150391,11871.849609,11757.549805,11847.549805,11847.549805,318100
2019-06-27,11860.849609,11911.150391,11821.049805,11841.549805,11841.549805,465800
2019-06-28,11861.150391,11871.700195,11775.500000,11788.849609,11788.849609,294800
2019-07-01,11839.900391,11884.450195,11831.200195,11865.599609,11865.599609,270000
2019-07-02,11890.299805,11917.450195,11814.700195,11910.299805,11910.299805,352300
2019-07-03,11932.150391,11945.049805,11887.900391,11916.750000,11916.750000,330300
2019-07-04,11928.799805,11969.250000,11923.650391,11946.750000,11946.750000,323600
2019-07-05,11964.750000,11981.750000,11797.900391,11811.150391,11811.150391,514800
2019-07-08,11770.400391,11770.400391,11523.500000,11558.599609,11558.599609,450100
2019-07-09,11531.599609,11582.299805,11461.450195,11555.900391,11555.900391,429200
2019-07-10,11536.150391,11593.500000,11475.900391,11498.900391,11498.900391,327500
2019-07-11,11561.450195,11598.349609,11519.549805,11582.900391,11582.900391,300
2019-07-12,11601.150391,11639.299805,11538.650391,11552.500000,11552.500000,348600
2019-07-15,11614.750000,11617.299805,11532.500000,11588.349609,11588.349609,357700
2019-07-16,11596.650391,11670.000000,11574.200195,11662.599609,11662.599609,465800
2019-07-17,11670.750000,11706.599609,11651.700195,11687.500000,11687.500000,450900
2019-07-18,11675.599609,11676.799805,11582.400391,11596.900391,11596.900391,483400
2019-07-19,11627.950195,11639.900391,11400.349609,11419.250000,11419.250000,432600
2019-07-22,11392.849609,11398.150391,11301.250000,11346.200195,11346.200195,500500
2019-07-23,11372.250000,11398.099609,11303.150391,11331.049805,11331.049805,500
2019-07-24,11322.450195,11359.250000,11230.200195,11271.299805,11271.299805,400800
2019-07-25,11290.400391,11361.400391,11239.349609,11252.150391,11252.150391,537100
2019-07-26,11247.450195,11307.349609,11210.599609,11284.299805,11284.299805,507000
2019-07-29,11307.500000,11307.500000,11152.750000,11189.200195,11189.200195,468400
2019-07-30,11213.700195,11267.099609,11072.950195,11085.400391,11085.400391,464700
2019-07-31,11034.049805,11144.150391,10999.650391,11118.000000,11118.000000,520600
2019-08-01,11060.200195,11076.750000,10881.000000,10980.000000,10980.000000,484900
2019-08-02,10930.299805,11079.799805,10849.549805,10997.349609,10997.349609,531000
2019-08-05,10895.799805,10895.799805,10782.599609,10862.599609,10862.599609,491400
2019-08-06,10815.400391,11018.000000,10815.400391,10948.250000,10948.250000,502400
2019-08-07,10958.099609,10975.650391,10835.900391,10855.500000,10855.500000,532000
2019-08-08,10899.200195,11057.650391,10843.250000,11032.450195,11032.450195,468000
2019-08-09,11087.900391,11181.299805,11063.150391,11109.650391,11109.650391,522000
2019-08-13,11139.400391,11145.900391,10901.599609,10925.849609,10925.849609,600
2019-08-14,11003.250000,11077.349609,10935.849609,11029.400391,11029.400391,500
2019-08-16,11043.650391,11068.549805,10924.299805,11047.799805,11047.799805,500
2019-08-19,11094.799805,11146.900391,11037.849609,11053.900391,11053.900391,400
2019-08-20,11047.650391,11049.849609,10986.700195,11017.000000,11017.000000,400
2019-08-21,11018.150391,11034.200195,10906.650391,10918.700195,10918.700195,600
2019-08-22,10905.299805,10908.250000,10718.299805,10741.349609,10741.349609,700
2019-08-23,10699.599609,10862.549805,10637.150391,10829.349609,10829.349609,700
2019-08-26,11000.299805,11070.299805,10756.549805,11057.849609,11057.849609,700
2019-08-27,11106.549805,11141.750000,11049.500000,11105.349609,11105.349609,700
