Month,U.S. Crude Oil ,Alabama,Alaska,Arkansas,Arizona,California,Colorado,Federal Offshore Gulf of Mexico Crude Oil,Federal Offshore Pacific Crude Oil,Florida,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Michigan,Mississippi,Missouri,Nebraska,Montana,Nevada,New Mexico,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Wyoming,West Virginia,Virginia,Utah,Texas,Tennessee
2008-06-01,5138,21,655,17,0,583,82,1326,67,5,0,26,5,107,5,215,17,65,0,6,86,1,161,1,165,14,186,8,5,144,6,0,60,1097,1
2008-07-01,5177,21,640,17,0,586,81,1372,61,6,0,27,5,103,7,214,17,60,0,6,84,1,163,1,172,14,184,8,5,145,5,0,61,1111,1
2008-08-01,5003,21,544,17,0,588,82,1272,70,5,0,26,5,110,10,203,17,59,0,7,84,1,163,1,178,14,188,8,5,145,6,0,62,1110,1
2008-09-01,3974,21,681,16,0,587,88,242,67,5,0,27,6,116,4,113,17,60,0,7,86,1,157,1,189,14,186,8,5,144,6,0,63,1055,1
2008-10-01,4738,21,716,17,0,586,86,803,66,6,0,26,6,111,8,186,17,64,0,7,86,1,169,1,203,14,185,8,5,145,6,0,64,1125,1
2008-11-01,5078,22,728,17,0,586,87,1090,66,6,0,25,5,111,11,198,17,61,0,7,86,1,171,1,214,14,181,8,5,147,5,0,66,1141,1
2008-12-01,5103,22,702,17,0,579,83,1197,68,4,0,25,5,110,4,194,20,63,0,7,83,1,171,1,201,14,176,8,5,143,5,0,62,1134,1
2009-01-01,5138,21,679,16,0,579,85,1281,67,2,0,23,4,112,10,188,17,62,0,7,81,1,171,1,187,13,173,8,5,144,3,0,65,1133,1
2009-02-01,5236,21,708,16,0,575,87,1323,65,2,0,25,5,112,7,192,18,62,0,7,82,1,175,1,191,13,193,8,5,143,3,0,66,1128,1
2009-03-01,5210,20,709,16,0,577,86,1355,40,2,0,27,5,108,5,190,17,62,0,6,81,1,173,1,194,13,177,8,5,140,6,0,65,1118,1
2009-04-01,5278,20,653,16,0,573,81,1465,63,2,0,25,5,109,3,194,17,64,0,6,80,1,166,1,196,13,188,8,5,143,4,0,64,1110,1
2009-05-01,5374,20,678,16,0,573,82,1553,61,2,0,25,4,106,11,191,17,62,0,6,79,1,167,1,205,13,189,8,4,142,3,0,65,1089,1
2009-06-01,5263,19,571,16,0,572,83,1561,65,2,0,25,5,110,5,190,17,62,0,6,77,1,163,1,214,13,188,8,5,142,6,0,64,1071,1
2009-07-01,5389,19,551,16,0,566,81,1735,64,2,0,25,5,110,10,185,16,63,0,6,75,1,160,1,227,13,177,8,4,138,3,0,62,1063,1
2009-08-01,5406,19,572,16,0,565,82,1734,63,2,0,25,5,106,4,187,16,63,0,6,74,1,164,1,231,13,173,8,4,137,4,0,62,1067,1
2009-09-01,5555,19,652,16,0,565,83,1752,61,2,0,26,5,110,10,191,17,63,0,6,74,1,165,1,237,13,184,8,4,141,5,0,61,1081,1
2009-10-01,5515,19,659,15,0,560,81,1725,63,2,0,25,5,105,7,190,17,64,0,6,72,1,168,1,239,13,175,8,5,142,3,0,62,1081,1
2009-11-01,5378,20,662,15,0,559,85,1563,62,2,0,24,5,109,5,181,17,65,0,6,71,1,173,1,245,13,169,8,5,145,3,0,61,1101,1
2009-12-01,5438,19,655,15,0,551,82,1680,60,2,0,25,5,102,7,183,19,70,0,6,70,1,167,1,241,13,158,8,4,138,5,0,60,1090,1
2010-01-01,5390,18,640,15,0,549,86,1655,61,3,0,22,4,103,11,174,20,67,0,6,68,1,170,1,235,13,152,9,4,140,4,0,59,1099,1
2010-02-01,5548,18,635,16,0,549,88,1711,60,4,0,26,5,108,5,181,20,67,0,6,71,1,179,1,260,13,182,9,5,143,4,0,61,1121,1
2010-03-01,5506,19,646,16,0,554,88,1600,64,4,0,26,5,111,5,185,19,66,1,6,70,1,180,1,276,13,184,9,5,146,5,0,65,1137,1
2010-04-01,5383,18,640,16,0,554,88,1481,62,4,0,27,5,114,6,183,18,65,1,6,69,1,175,1,284,13,185,9,4,146,5,0,66,1137,1
2010-05-01,5391,19,571,16,0,554,89,1536,61,5,0,24,5,109,10,185,18,65,0,6,69,1,178,1,297,13,178,9,4,147,5,0,67,1146,1
2010-06-01,5381,19,534,16,0,551,86,1543,61,5,0,26,5,115,7,186,18,65,0,6,68,1,176,1,313,13,191,9,4,146,6,0,68,1139,1
2010-07-01,5299,20,545,15,0,550,83,1434,59,5,0,25,5,111,7,187,19,65,0,6,69,1,179,1,320,13,192,9,4,146,5,0,69,1152,1
2010-08-01,5442,20,538,15,0,552,93,1555,56,5,0,24,5,112,4,187,19,66,0,7,69,1,180,1,328,13,186,9,4,146,5,0,71,1168,1
2010-09-01,5611,21,614,16,0,553,96,1587,58,5,0,25,5,113,9,190,20,66,0,7,71,1,178,1,342,13,189,9,5,148,5,0,71,1191,1
2010-10-01,5621,20,618,16,0,539,95,1565,57,5,0,25,5,110,7,187,19,66,0,7,71,1,186,1,342,13,189,9,5,170,5,0,71,1215,1
2010-11-01,5567,21,606,16,0,547,97,1482,56,5,0,24,5,111,2,185,19,67,0,7,70,1,190,1,355,13,204,9,5,148,5,0,71,1243,1
2010-12-01,5602,21,612,16,0,536,97,1491,58,6,0,24,5,115,10,183,20,68,0,7,68,1,188,1,343,13,207,9,4,145,5,0,70,1278,1
2011-01-01,5492,21,464,16,0,535,93,1562,53,6,0,23,5,108,5,183,20,68,0,7,66,1,191,1,341,13,201,10,4,142,5,0,67,1281,1
2011-02-01,5399,21,611,16,0,540,98,1411,53,5,0,22,5,109,3,184,20,67,0,7,67,1,164,1,347,13,175,10,4,143,5,0,68,1227,1
2011-03-01,5612,21,611,16,0,538,104,1389,55,6,0,26,5,118,7,193,19,66,0,7,66,1,194,1,359,13,220,10,4,147,6,0,71,1337,1
2011-04-01,5552,22,606,16,0,540,107,1346,57,6,0,24,5,114,6,187,19,66,0,7,65,1,193,1,350,13,212,10,4,149,6,0,72,1349,1
2011-05-01,5613,23,582,16,0,543,106,1373,55,5,0,23,5,116,6,186,19,66,0,7,65,1,193,1,362,13,213,10,4,148,6,0,71,1393,1
2011-06-01,5578,23,553,16,0,541,107,1325,57,5,0,25,6,116,7,185,19,66,0,7,65,1,193,1,384,13,217,10,4,152,6,0,72,1400,1
2011-07-01,5430,23,453,16,0,535,106,1211,56,5,0,25,5,111,9,184,18,68,0,7,65,1,197,1,424,13,216,9,4,151,6,0,72,1436,1
2011-08-01,5651,24,526,16,0,535,111,1272,54,5,0,26,6,118,6,187,19,66,0,7,66,1,200,1,444,13,213,9,5,151,8,0,72,1490,1
2011-09-01,5583,23,585,17,0,532,113,1090,56,6,0,26,6,114,7,185,19,66,0,7,65,1,201,1,462,13,204,9,5,150,6,0,74,1538,1
2011-10-01,5886,24,566,16,0,534,115,1291,55,6,0,27,6,110,6,197,20,66,0,7,68,1,201,1,489,13,224,9,5,152,6,0,75,1595,1
2011-11-01,6001,25,593,17,0,538,118,1278,50,6,0,27,6,121,3,198,20,66,0,7,69,1,212,1,508,13,215,9,5,153,6,0,76,1658,1
2011-12-01,6032,25,592,17,0,538,117,1257,51,6,0,26,6,110,10,199,20,64,0,7,67,1,208,1,533,13,224,9,5,157,6,0,74,1689,1
2012-01-01,6161,25,593,17,0,537,120,1307,52,6,0,26,6,119,3,192,20,64,0,9,66,1,217,1,546,14,239,11,5,157,6,0,75,1724,1
2012-02-01,6245,25,582,18,0,538,122,1326,51,6,0,27,6,118,22,189,21,65,0,8,69,1,217,1,556,14,236,11,5,156,7,0,76,1771,1
2012-03-01,6301,25,567,18,0,534,127,1375,26,6,0,27,6,118,12,192,20,67,0,9,67,1,219,1,579,14,232,11,5,159,7,0,78,1798,1
2012-04-01,6296,25,552,18,0,541,123,1266,39,5,0,27,6,120,2,194,21,67,0,8,71,1,223,1,609,14,237,11,5,155,7,0,79,1868,1
2012-05-01,6351,24,546,18,0,539,132,1195,51,6,0,27,6,121,13,197,20,69,1,8,71,1,224,1,641,14,256,11,5,157,7,0,80,1910,1
2012-06-01,6269,25,493,18,0,541,126,1114,52,6,0,27,6,119,8,193,20,69,0,9,68,1,228,1,662,14,262,11,5,155,7,0,81,1946,1
