ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,34,9,180,93023,1,8.9,3,0,1,0,0,0,0
2,38,14,130,95010,4,4.7,3,134,1,0,0,0,0
3,46,21,193,91604,2,8.1,3,0,1,0,0,0,0
4,38,13,119,94104,1,3.3,2,0,1,0,1,1,1
5,42,18,141,94114,3,5,3,0,1,1,1,1,0
6,32,7,132,90019,4,1.1,2,412,1,0,0,1,0
7,37,12,194,91380,4,0.2,3,211,1,1,1,1,1
8,50,26,190,90245,3,2.1,3,240,1,0,0,1,0
9,56,31,131,95616,2,1.2,3,0,1,0,0,0,0
10,31,7,135,94901,4,3.8,2,0,1,0,1,1,1
11,54,30,133,93305,2,2.6,3,0,1,0,0,0,0
12,55,30,118,90277,4,5.6,2,0,1,0,0,1,0
13,58,34,149,93720,4,7.2,2,0,1,0,1,1,1
14,26,0,132,92834,3,6.5,3,0,1,0,0,0,1
15,29,0,134,95819,4,6.5,3,0,1,0,0,0,0
16,42,17,168,95503,2,7.9,2,0,1,0,0,1,0
17,29,3,148,92173,3,4.1,1,0,1,0,0,1,0
18,46,21,159,94305,3,1.9,3,315,1,0,0,1,0
19,36,11,158,92152,1,5.1,3,0,1,0,1,1,1
20,64,39,172,94707,4,3.1,1,282,1,0,1,1,1
21,65,39,170,90095,3,7.9,3,99,1,0,1,1,0
22,53,29,120,92626,4,2.7,2,111,1,1,1,1,0
23,54,28,170,92182,2,6.2,2,325,1,0,0,1,0
24,65,41,134,91942,3,3.9,3,121,1,0,0,1,0
25,42,16,111,93106,2,1.2,3,251,1,0,0,1,0
26,44,19,172,94306,2,4.3,3,391,1,1,1,1,0
27,41,15,159,90057,1,5.5,3,0,1,0,1,1,0
28,49,25,195,95605,4,3,1,617,1,0,0,0,0
29,57,31,165,95054,1,1.6,2,0,1,0,0,1,0
30,40,16,119,91335,2,4.2,2,0,1,0,0,1,0
31,44,20,101,92717,3,4.4,2,82,1,0,0,0,0
32,63,39,101,92007,1,3.9,1,0,1,1,1,1,0
33,59,34,99,90034,1,4.4,1,0,1,0,0,0,0
34,56,30,158,90089,4,6.1,1,0,1,0,0,0,0
35,40,15,173,95060,4,6.6,1,0,1,0,1,1,1
36,26,2,60,93407,2,3,1,132,1,0,0,0,0
37,28,4,155,92182,4,5.3,2,0,1,0,0,1,0
38,57,32,174,90089,1,6.8,2,466,1,0,0,1,0
39,65,41,133,94904,4,2,1,0,1,0,0,0,1
40,54,30,100,95814,4,3.4,3,0,1,0,0,0,0
41,36,10,179,94542,3,6.6,1,0,1,0,0,1,0
42,28,3,115,92333,4,3.1,2,0,1,0,0,0,0
43,58,32,113,93943,2,3.8,2,119,1,0,1,1,1
44,58,28,122,95136,1,3,3,115,1,0,0,1,0
45,29,4,183,91423,3,8.3,3,0,1,0,0,1,0
46,48,22,149,94928,2,5.5,2,0,1,1,1,1,0
47,43,19,83,94305,4,3.6,3,0,1,0,0,0,1
48,64,39,182,93955,1,1.2,2,547,1,0,0,1,0
49,43,19,152,92008,3,6.1,2,0,1,0,0,0,0
50,56,32,173,94022,1,4.6,2,88,1,0,1,1,0
51,36,12,69,94305,3,3.1,2,0,1,0,0,1,0
52,64,39,122,90089,4,0.2,1,378,1,0,0,1,0
53,44,20,131,90717,1,4.9,3,0,1,0,0,1,0
54,53,28,175,95060,3,3.6,3,0,1,0,1,1,1
55,49,25,161,94928,3,6.5,2,485,1,1,1,0,0
56,48,22,152,94022,1,3.5,3,0,1,0,0,1,0
57,28,3,170,95014,1,0.1,3,0,1,0,0,0,0
58,33,8,115,91129,4,2.9,2,0,1,0,0,1,0
59,57,32,165,94720,4,2.7,3,0,1,0,0,1,0
60,47,22,122,90037,1,5.1,3,163,1,1,0,0,0
61,54,29,129,93940,4,4.2,3,0,1,0,0,0,0
62,65,41,185,93561,3,2,2,0,1,0,0,0,0
63,65,41,105,92612,1,3,2,282,1,1,1,1,0
64,34,9,164,94720,1,6,3,0,1,0,0,1,0
65,35,9,109,92709,3,4,1,0,1,0,0,0,0
66,45,21,132,91103,3,1.2,2,0,1,0,1,1,1
67,45,20,114,94720,2,4.4,2,0,1,0,0,0,0
68,61,35,152,91016,3,3.3,3,0,1,0,0,1,0
69,64,37,138,94709,2,2.8,2,0,1,0,0,1,0
70,47,21,109,95822,4,1.8,1,0,1,0,0,0,0
71,26,2,172,94551,2,6.9,2,0,1,0,0,1,0
72,54,28,165,92093,1,4.1,3,0,1,0,1,1,1
73,50,26,135,92121,2,4.6,3,91,1,0,0,1,0
74,53,28,192,94304,2,6.4,3,0,1,0,0,0,0
75,56,32,158,94588,3,3.7,3,0,1,0,0,1,0
76,54,30,194,92056,3,6,3,587,1,1,1,1,1
77,45,15,202,91380,3,10,3,0,1,0,0,0,0
78,55,29,132,95758,3,5.9,2,307,1,0,0,0,0
79,50,25,130,94720,1,1.1,2,0,1,0,0,1,0
80,36,12,150,95138,4,5.4,1,0,1,1,1,1,0
81,63,37,124,92182,3,5,2,170,1,0,0,0,0
82,57,33,182,94114,2,3.3,3,372,1,0,0,0,0
83,32,6,120,94102,4,5.4,1,301,1,0,1,1,1
84,50,24,161,95133,3,3.4,1,212,1,0,0,1,0
85,30,3,172,91302,3,3.4,2,0,1,0,0,0,1
86,65,41,195,91711,3,0.4,1,0,1,1,1,0,1
87,65,40,95,95014,3,3.7,2,138,1,0,0,0,1
88,61,36,193,94303,1,4.7,3,203,1,0,0,1,0
89,38,13,129,92093,4,4.4,1,140,1,0,0,0,0
90,59,34,83,94105,2,3.4,3,0,1,0,0,1,0
91,37,12,169,91107,2,5.2,3,249,1,0,0,1,0
92,62,36,135,94301,2,5.2,2,0,1,0,0,1,0
93,43,19,174,92028,3,1.7,3,231,1,0,1,1,1
94,63,38,83,92122,2,3.4,1,0,1,0,0,0,0
95,36,12,142,90064,3,2.3,2,0,1,0,1,1,1
96,41,15,185,91775,1,3.6,2,0,1,0,0,0,0
97,44,19,99,95064,3,3.5,3,357,1,0,0,0,0
98,50,26,192,90245,2,1.8,3,301,1,0,1,1,1
99,27,3,118,95605,1,3.3,2,0,1,0,0,1,0
100,58,33,122,93711,4,0.2,2,0,1,0,1,1,0
101,29,4,110,92096,4,2.5,3,0,1,0,0,0,0
102,56,30,145,95831,4,5.7,2,0,1,0,1,1,1
103,41,16,175,94304,2,1.1,3,0,1,0,0,1,0
104,53,27,145,90095,2,6.1,3,294,1,0,1,1,1
105,47,21,83,92220,1,3.8,1,97,1,0,0,0,0
106,41,17,138,95008,3,6.9,2,0,1,0,0,1,0
